,Unnamed: 0,price,address,bedrooms,bathrooms,floor_area,district,neighbourhood
0,0,3000000,"7 Henrietta Street, Dublin 1",6,7,763.0,,7 Henrietta Street
1,1,10000000,"Drumleck House, Ceanchor Road, Howth, Dublin 13",5,5,781.0,, Howth
2,2,875000,"13 Inverness Road, Fairview, Fairview, Dublin 3",4,3,200.0,, Fairview
3,3,895000,"3 Ballymun Road, Glasnevin, Dublin 9",4,2,152.0,, Glasnevin
4,4,245000,"4 Newlands Manor Drive, Clondalkin, Clondalkin, Dublin 22",2,2,60.0,, Clondalkin
5,5,410000,"93 Muckross Avenue, Perrystown, Perrystown, Dublin 12",3,1,94.0,, Perrystown
6,6,875000,"Filmar, 2 Wansdowne, Blackrock, Co. Dublin",4,2,154.0,, Blackrock
7,7,975000,"7 Oxford Road, Ranelagh, Ranelagh, Dublin 6",6,6,221.0,, Ranelagh
8,8,575000,"1 Newtown Clarke Cottage, Old Lucan Road, Palmerstown, Dublin 20",3,1,105.0,, Palmerstown
9,9,460000,"48 Alderwood, Hollystown, Hollystown, Dublin 15",4,4,148.0,, Hollystown
10,10,550000,"5 Cedar Cottages, Linden Grove, Blackrock, Co. Dublin",2,1,72.0,, Blackrock
11,11,995000,"28 Leeson Park Avenue, Ranelagh, Ranelagh, Dublin 6",2,2,143.0,, Ranelagh
12,12,1475000,"Fern House, 126, Ranelagh, Dublin 6",5,2,265.0,, Ranelagh
13,13,545000,"17 O'Donovan Road, South Circular Road, South Circular Road, Dublin 8",3,2,100.0,, South Circular Road
14,14,1495000,"11 Somerton, Castleknock Golf Club, Castleknock, Dublin 15",5,6,286.0,, Castleknock
15,15,2495000,"86 Kincora Road, Clontarf, Clontarf, Dublin 3",4,2,286.0,, Clontarf
16,16,310000,"34 The Pine, The Wintergarden, Pearse Street, Dublin 2",1,1,45.0,, Pearse Street
17,17,470000,"Apartment 17, Amber, The Grange, Stillorgan, Co. Dublin",2,2,74.0,, Stillorgan
18,18,435000,"Apartment 1, House 5, Linden Square, Blackrock, Co. Dublin",2,2,79.0,, Blackrock
19,19,485000,"11 Reuben Avenue, Rialto, Rialto, Dublin 8",2,1,90.0,, Rialto
20,20,1975000,"Chipton, 25 Ailesbury Park, Ballsbridge, Dublin 4",5,2,285.0,, Ballsbridge
21,21,795000,"37 Dollymount Park, Clontarf, Clontarf, Dublin 3",3,3,138.0,, Clontarf
22,22,245000,"4 Linnetfields Park, Clonee, Dublin 15",2,1,73.0,, Clonee
23,23,1695000,"54 Palmerston Road, Rathmines, Rathmines, Dublin 6",6,3,255.0,, Rathmines
24,24,585000,"1 Vale View Avenue, Cabinteely, Dublin 18",4,2,132.0,, Cabinteely
25,25,365000,"115 Sycamore Road, Finglas, Finglas, Dublin 11",3,1,110.0,, Finglas
26,26,345000,"Apartment 49 Reuben Square, Block B, Reuben Street, South City Centre, Dublin 8",2,1,69.0,, South City Centre
27,27,375000,"46 Littlepace Woods, Clonee, Clonee, Dublin 15",3,2,96.0,, Clonee
28,28,495000,"126 Brandon Square, Waterville, Blanchardstown, Dublin 15",5,5,185.0,, Blanchardstown
29,29,475000,"6 O'Carolan Road, South Circular Road, Dublin 8",3,1,75.0,, South Circular Road
30,30,6750000,"Dungriffan, 2 Sydney Parade Avenue, Dublin 4",6,5,595.0,, 2 Sydney Parade Avenue
31,31,415000,"33 Shantalla Road, Beaumont, Beaumont, Dublin 9",3,1,87.0,, Beaumont
