,price,address,bedrooms,bathrooms,floor_area,district,neighbourhood,price_sqm
0,3000000,"7 Henrietta Street, Dublin 1",6,7,763.0,Dublin 1,7 Henrietta Street,3932.0
1,10000000,"Drumleck House, Ceanchor Road, Howth, Dublin 13",5,5,781.0,Dublin 13, Howth,12804.0
2,875000,"13 Inverness Road, Fairview, Fairview, Dublin 3",4,3,200.0,Dublin 3, Fairview,4375.0
3,895000,"3 Ballymun Road, Glasnevin, Dublin 9",4,2,152.0,Dublin 9, Glasnevin,5888.0
4,245000,"4 Newlands Manor Drive, Clondalkin, Clondalkin, Dublin 22",2,2,60.0,Dublin 22, Clondalkin,4083.0
5,410000,"93 Muckross Avenue, Perrystown, Perrystown, Dublin 12",3,1,94.0,Dublin 12, Perrystown,4362.0
6,875000,"Filmar, 2 Wansdowne, Blackrock, Co. Dublin",4,2,154.0,Blackrock, Blackrock,5682.0
7,975000,"7 Oxford Road, Ranelagh, Ranelagh, Dublin 6",6,6,221.0,Dublin 6, Ranelagh,4412.0
8,575000,"1 Newtown Clarke Cottage, Old Lucan Road, Palmerstown, Dublin 20",3,1,105.0,Dublin 20, Palmerstown,5476.0
9,460000,"48 Alderwood, Hollystown, Hollystown, Dublin 15",4,4,148.0,Dublin 15, Hollystown,3108.0
10,550000,"5 Cedar Cottages, Linden Grove, Blackrock, Co. Dublin",2,1,72.0,Blackrock, Blackrock,7639.0
11,995000,"28 Leeson Park Avenue, Ranelagh, Ranelagh, Dublin 6",2,2,143.0,Dublin 6, Ranelagh,6958.0
12,1475000,"Fern House, 126, Ranelagh, Dublin 6",5,2,265.0,Dublin 6, Ranelagh,5566.0
13,545000,"17 O'Donovan Road, South Circular Road, South Circular Road, Dublin 8",3,2,100.0,Dublin 8, South Circular Road,5450.0
14,1495000,"11 Somerton, Castleknock Golf Club, Castleknock, Dublin 15",5,6,286.0,Dublin 15, Castleknock,5227.0
15,2495000,"86 Kincora Road, Clontarf, Clontarf, Dublin 3",4,2,286.0,Dublin 3, Clontarf,8724.0
16,310000,"34 The Pine, The Wintergarden, Pearse Street, Dublin 2",1,1,45.0,Dublin 2, Pearse Street,6889.0
17,470000,"Apartment 17, Amber, The Grange, Stillorgan, Co. Dublin",2,2,74.0,Blackrock, Stillorgan,6351.0
18,435000,"Apartment 1, House 5, Linden Square, Blackrock, Co. Dublin",2,2,79.0,Blackrock, Blackrock,5506.0
19,485000,"11 Reuben Avenue, Rialto, Rialto, Dublin 8",2,1,90.0,Dublin 8, Rialto,5389.0
20,1975000,"Chipton, 25 Ailesbury Park, Ballsbridge, Dublin 4",5,2,285.0,Dublin 4, Ballsbridge,6930.0
21,795000,"37 Dollymount Park, Clontarf, Clontarf, Dublin 3",3,3,138.0,Dublin 3, Clontarf,5761.0
22,245000,"4 Linnetfields Park, Clonee, Dublin 15",2,1,73.0,Dublin 15, Clonee,3356.0
23,1695000,"54 Palmerston Road, Rathmines, Rathmines, Dublin 6",6,3,255.0,Dublin 6, Rathmines,6647.0
24,585000,"1 Vale View Avenue, Cabinteely, Dublin 18",4,2,132.0,Dublin 18, Cabinteely,4432.0
25,365000,"115 Sycamore Road, Finglas, Finglas, Dublin 11",3,1,110.0,Dublin 11, Finglas,3318.0
26,345000,"Apartment 49 Reuben Square, Block B, Reuben Street, South City Centre, Dublin 8",2,1,69.0,Dublin 8, South City Centre,5000.0
27,375000,"46 Littlepace Woods, Clonee, Clonee, Dublin 15",3,2,96.0,Dublin 15, Clonee,3906.0
28,495000,"126 Brandon Square, Waterville, Blanchardstown, Dublin 15",5,5,185.0,Dublin 15, Blanchardstown,2676.0
29,475000,"6 O'Carolan Road, South Circular Road, Dublin 8",3,1,75.0,Dublin 8, South Circular Road,6333.0
30,6750000,"Dungriffan, 2 Sydney Parade Avenue, Dublin 4",6,5,595.0,Dublin 4, 2 Sydney Parade Avenue,11345.0
31,415000,"33 Shantalla Road, Beaumont, Beaumont, Dublin 9",3,1,87.0,Dublin 9, Beaumont,4770.0
32,450000,"16 Mountain View Drive, Churchtown, Dublin 14",3,1,80.0,Dublin 14, Churchtown,5625.0
33,2800000,"4 Willow Bank, Monkstown, Co. Dublin",6,3,341.0,Blackrock, Monkstown,8211.0
34,650000,"2 Saint Philomena's Road, Glasnevin, Glasnevin, Dublin 11",4,1,134.0,Dublin 11, Glasnevin,4851.0
35,945000,"44 Shrewsbury Park, Ballsbridge, Dublin 4",3,2,146.0,Dublin 4, Ballsbridge,6473.0
36,350000,"51 Whitethorn Crescent, Palmerstown, Dublin 20",3,2,99.0,Dublin 20, Palmerstown,3535.0
37,3950000,"106 Merrion Road Ballsbridge Dublin 4, Ballsbridge, Dublin 4",5,5,520.0,Dublin 4, Ballsbridge,7596.0
38,545000,"33 Mount Drummond Avenue, Harold`s Cross, D6, Harold's Cross, Dublin 6",2,2,71.0,Dublin 6, Harold's Cross,7676.0
39,1895000,"Leeson Mews, 41 Leeson Place, Dublin 2",4,3,186.0,Dublin 2, 41 Leeson Place,10188.0
40,360000,"Apartment 9 Sycamore House, Eaton Wood Square, Shankill, Dublin 18",2,2,65.0,Dublin 18, Shankill,5538.0
41,975000,"Residence 9, InterContinental Hotel, Ballsbridge, Dublin 4",1,2,115.0,Dublin 4, Ballsbridge,8478.0
42,435000,"Apartment 51, Shrewsbury Donnybrook Castle Stillorgan Road, Donnybrook, Dublin 4",2,2,64.0,Dublin 4, Donnybrook,6797.0
43,1495000,"Sandyford House, Sandyford Road, Sandyford, Dublin 18",4,5,233.0,Dublin 18, Sandyford,6416.0
44,950000,"Sea View, 50 Carrickbrack Hill, Sutton, Dublin 13",4,3,231.0,Dublin 13, Sutton,4113.0
45,930000,"Sunnyside, 102 Clontarf Road, Clontarf, Dublin 3",4,1,126.0,Dublin 3, Clontarf,7381.0
46,2500000,"South Hill House, Merrion Park, Blackrock, Co. Dublin",9,6,561.0,Blackrock, Blackrock,4456.0
47,575000,"15 Danieli Drive, Artane, Artane, Dublin 5",4,3,124.0,Dublin 5, Artane,4637.0
48,295000,"90 Rialto Cottages, Rialto, Rialto, Dublin 8",2,1,45.0,Dublin 8, Rialto,6556.0
49,895000,"6 The Stiles Road, Clontarf, Clontarf, Dublin 3",4,2,135.0,Dublin 3, Clontarf,6630.0
50,350000,"19 Saint Samson's Square, Balgriffin, Dublin 13",3,3,102.0,Dublin 13, Balgriffin,3431.0
51,895000,"21 Carrickbrack Lawn, Sutton, Sutton, Dublin 13",4,2,180.0,Dublin 13, Sutton,4972.0
52,475000,"2 Mount Symon Rise, Clonsilla, Clonsilla, Dublin 15",4,3,118.0,Dublin 15, Clonsilla,4025.0
54,275000,"Apartment 11 Marlfield Mall, Kiltipper Way, Tallaght, Dublin 24",3,2,87.0,Dublin 24, Tallaght,3161.0
55,1700000,"Apartment 12, Glaunsharoon, Donnybrook, Dublin 4",3,3,161.0,Dublin 4, Donnybrook,10559.0
56,895000,"7 Hampton Park, Saint Helen's Wood, Booterstown, Co. Dublin",4,3,140.0,Blackrock, Booterstown,6393.0
57,975000,"Dunamase, Dunamase, Old Frankfort, Dundrum Road, Dublin 14",4,4,175.0,Dublin 14, Dundrum Road,5571.0
58,1100000,"Lohengrin, 13 Charleville, Churchtown, Dublin 14",5,3,170.0,Dublin 14, Churchtown,6471.0
59,395000,"56 The Crescent, Carrickmines Manor, Carrickmines, Dublin 18",2,2,76.0,Dublin 18, Carrickmines,5197.0
60,795000,"3 Malone Gardens, Sandymount, Dublin 4",4,2,170.0,Dublin 4, Sandymount,4676.0
61,590000,"Apartment 2 Block J, Hanover Riverside, Forbes Street, Grand Canal Dock, Dublin 2",3,3,97.0,Dublin 2, Grand Canal Dock,6082.0
62,399000,"72 Shantalla Drive, Beaumont, Beaumont, Dublin 9",3,1,100.0,Dublin 9, Beaumont,3990.0
63,595000,"3 St. Peter's Avenue, Phibsborough, Dublin 7",2,1,110.0,Dublin 7, Phibsborough,5409.0
64,370000,"70 Forestwood Avenue, Santry Avenue, Santry, Dublin 9",3,2,89.0,Dublin 9, Santry,4157.0
65,995000,"66 Offington Lawn, Sutton, Sutton, Dublin 13",4,2,239.0,Dublin 13, Sutton,4163.0
66,599000,"10 Huxley Crescent, Cork Street, The Coombe, Dublin 8",4,3,125.0,Dublin 8, The Coombe,4792.0
67,760000,"77 Ballintyre Grove, Ballinteer, Dublin 16",3,4,249.0,Dublin 16, Ballinteer,3052.0
68,495000,"36 Glenbourne Road, Leopardstown Valley, Leopardstown, Dublin 18",3,3,95.0,Dublin 18, Leopardstown,5211.0
69,435000,"Apartment 5, Hazelbrook, Dublin 14",2,2,79.0,Dublin 14, Hazelbrook,5506.0
