Unnamed: 0,price,address,bedrooms,bathrooms,floor_area,price_sqm
20,470000,"Apartment 17, Amber, The Grange, Stillorgan, Co. Dublin",2,2,74.0,6351.0
21,435000,"Apartment 1, House 5, Linden Square, Blackrock, Co. Dublin",2,2,79.0,5506.0
22,1995000,"Karroc, 14 Myra Manor, Malahide, Co. Dublin",5,4,481.0,4148.0
23,485000,"11 Reuben Avenue, Rialto, Rialto, Dublin 8",2,1,90.0,5389.0
24,1975000,"Chipton, 25 Ailesbury Park, Ballsbridge, Dublin 4",5,2,285.0,6930.0
25,245000,"4 Linnetfields Park, Clonee, Dublin 15",2,1,73.0,3356.0
26,1695000,"54 Palmerston Road, Rathmines, Rathmines, Dublin 6",6,3,255.0,6647.0
27,655000,"16 Seabury View, Malahide, Co. Dublin",4,3,130.0,5038.0
28,975000,"74 Ard Na Mara, Malahide, Co. Dublin",4,3,161.0,6056.0
29,1295000,"Parnell House, 4A Parnell Cottages, Malahide, Co. Dublin",4,3,200.0,6475.0
30,585000,"1 Vale View Avenue, Cabinteely, Dublin 18",4,2,132.0,4432.0
31,450000,"15 Baskin Cottages, Kinsealy, Co. Dublin",3,2,131.0,3435.0
32,345000,"Apartment 49 Reuben Square, Block B, Reuben Street, South City Centre, Dublin 8",2,1,69.0,5000.0
33,495000,"126 Brandon Square, Waterville, Blanchardstown, Dublin 15",5,5,185.0,2676.0
34,515000,"11 Seabury Dale, Malahide, Co. Dublin",3,2,112.0,4598.0
35,475000,"6 O'Carolan Road, South Circular Road, Dublin 8",3,1,75.0,6333.0
36,1350000,"Castle Lodge Auburn, Back Road, Malahide, Co. Dublin",10,10,297.0,4545.0
37,6750000,"Dungriffan, 2 Sydney Parade Avenue, Dublin 4",6,5,595.0,11345.0
38,415000,"33 Shantalla Road, Beaumont, Beaumont, Dublin 9",3,1,87.0,4770.0
39,450000,"16 Mountain View Drive, Churchtown, Dublin 14",3,1,80.0,5625.0
40,875000,"5 Parnell Cottages, Malahide, Co. Dublin",4,3,180.0,4861.0
41,2800000,"4 Willow Bank, Monkstown, Co. Dublin",6,3,341.0,8211.0
42,750000,"28 The Quarry, Portmarnock, Co. Dublin",3,4,180.0,4167.0
43,945000,"44 Shrewsbury Park, Ballsbridge, Dublin 4",3,2,146.0,6473.0
44,350000,"51 Whitethorn Crescent, Palmerstown, Dublin 20",3,2,99.0,3535.0
45,3950000,"106 Merrion Road Ballsbridge Dublin 4, Ballsbridge, Dublin 4",5,5,520.0,7596.0
46,545000,"33 Mount Drummond Avenue, Harold`s Cross, D6, Harold's Cross, Dublin 6",2,2,71.0,7676.0
47,365000,"23 The Park, Balbriggan Street, Skerries, Co. Dublin",2,1,61.0,5984.0
48,1895000,"Leeson Mews, 41 Leeson Place, Dublin 2",4,3,186.0,10188.0
49,360000,"Apartment 9 Sycamore House, Eaton Wood Square, Shankill, Dublin 18",2,2,65.0,5538.0
50,345000,"20 Castlegate Green, Lucan, Co. Dublin",3,3,89.0,3876.0
51,430000,"3 Elm Grove, Lucan, Co. Dublin",4,3,110.0,3909.0
52,215000,"Apartment 57, Block 5, Donabate, Co. Dublin",1,1,48.0,4479.0
53,250000,"1 Applewood Drive, Swords, Co. Dublin",2,2,66.0,3788.0
54,375000,"5 Orchard Close, Beaverstown Road, Donabate, Co. Dublin",3,2,104.0,3606.0
55,575000,"2 Inbhir Ide, Malahide, Co. Dublin",3,2,122.0,4713.0
56,370000,"43 Waterside Lawn, Swords Road, Malahide, Co. Dublin",2,2,105.0,3524.0
57,425000,"110 The Strand, Donabate, Co. Dublin",3,1,110.0,3864.0
58,1495000,"Sandyford House, Sandyford Road, Sandyford, Dublin 18",4,5,233.0,6416.0
59,950000,"Sea View, 50 Carrickbrack Hill, Sutton, Dublin 13",4,3,231.0,4113.0
60,930000,"Sunnyside, 102 Clontarf Road, Clontarf, Dublin 3",4,1,126.0,7381.0
61,2500000,"South Hill House, Merrion Park, Blackrock, Co. Dublin",9,6,561.0,4456.0
62,295000,"90 Rialto Cottages, Rialto, Rialto, Dublin 8",2,1,45.0,6556.0
63,350000,"19 Saint Samson's Square, Balgriffin, Dublin 13",3,3,102.0,3431.0
64,895000,"21 Carrickbrack Lawn, Sutton, Sutton, Dublin 13",4,2,180.0,4972.0
65,475000,"2 Mount Symon Rise, Clonsilla, Clonsilla, Dublin 15",4,3,118.0,4025.0
66,595000,"57 Drumnigh Manor, Portmarnock, Co. Dublin",3,4,147.0,4048.0
67,650000,"Remount Farm, Racecourse Commons, Lusk, Co. Dublin",4,2,190.0,3421.0
69,275000,"Apartment 11 Marlfield Mall, Kiltipper Way, Tallaght, Dublin 24",3,2,87.0,3161.0
