Unnamed: 0,price,address,bedrooms,bathrooms,floor_area,price_sqm,geometry.type,geometry.coordinates,latitude,longitude
20,470000,"Apartment 17, Amber, The Grange, Stillorgan, Co. Dublin",2,2,74.0,6351.0,Point,"[-6.1928515, 53.280368]",53.280368,-6.1928515
21,435000,"Apartment 1, House 5, Linden Square, Blackrock, Co. Dublin",2,2,79.0,5506.0,Point,"[-6.19043, 53.29279]",53.29279,-6.19043
22,1995000,"Karroc, 14 Myra Manor, Malahide, Co. Dublin",5,4,481.0,4148.0,Point,"[-6.173941399999999, 53.4327365]",53.4327365,-6.173941399999999
23,485000,"11 Reuben Avenue, Rialto, Rialto, Dublin 8",2,1,90.0,5389.0,Point,"[-6.2922444, 53.3351852]",53.3351852,-6.2922444
24,1975000,"Chipton, 25 Ailesbury Park, Ballsbridge, Dublin 4",5,2,285.0,6930.0,Point,"[-6.211598, 53.3203349]",53.3203349,-6.211598
25,245000,"4 Linnetfields Park, Clonee, Dublin 15",2,1,73.0,3356.0,Point,"[-6.4403085, 53.3986475]",53.3986475,-6.4403085
26,1695000,"54 Palmerston Road, Rathmines, Rathmines, Dublin 6",6,3,255.0,6647.0,Point,"[-6.2583763, 53.31726459999999]",53.31726459999999,-6.2583763
27,655000,"16 Seabury View, Malahide, Co. Dublin",4,3,130.0,5038.0,Point,"[-6.187079499999999, 53.4536548]",53.4536548,-6.187079499999999
28,975000,"74 Ard Na Mara, Malahide, Co. Dublin",4,3,161.0,6056.0,Point,"[-6.171890899999999, 53.4483135]",53.4483135,-6.171890899999999
29,1295000,"Parnell House, 4A Parnell Cottages, Malahide, Co. Dublin",4,3,200.0,6475.0,Point,"[-6.1564862, 53.4438854]",53.4438854,-6.1564862
30,585000,"1 Vale View Avenue, Cabinteely, Dublin 18",4,2,132.0,4432.0,Point,"[-6.161011999999999, 53.263353]",53.263353,-6.161011999999999
31,450000,"15 Baskin Cottages, Kinsealy, Co. Dublin",3,2,131.0,3435.0,Point,"[-6.193280199999999, 53.4238359]",53.4238359,-6.193280199999999
32,345000,"Apartment 49 Reuben Square, Block B, Reuben Street, South City Centre, Dublin 8",2,1,69.0,5000.0,Point,"[-6.2910965, 53.3343443]",53.3343443,-6.2910965
33,495000,"126 Brandon Square, Waterville, Blanchardstown, Dublin 15",5,5,185.0,2676.0,Point,"[-6.3686213, 53.3924463]",53.3924463,-6.3686213
34,515000,"11 Seabury Dale, Malahide, Co. Dublin",3,2,112.0,4598.0,Point,"[-6.183895199999999, 53.4547169]",53.4547169,-6.183895199999999
35,475000,"6 O'Carolan Road, South Circular Road, Dublin 8",3,1,75.0,6333.0,Point,"[-6.280226, 53.336092]",53.336092,-6.280226
36,1350000,"Castle Lodge Auburn, Back Road, Malahide, Co. Dublin",10,10,297.0,4545.0,Point,"[-6.1759347, 53.4401792]",53.4401792,-6.1759347
37,6750000,"Dungriffan, 2 Sydney Parade Avenue, Dublin 4",6,5,595.0,11345.0,Point,"[-6.2117722, 53.3214423]",53.3214423,-6.2117722
38,415000,"33 Shantalla Road, Beaumont, Beaumont, Dublin 9",3,1,87.0,4770.0,Point,"[-6.2341235, 53.3868246]",53.3868246,-6.2341235
39,450000,"16 Mountain View Drive, Churchtown, Dublin 14",3,1,80.0,5625.0,Point,"[-6.2625755, 53.2893786]",53.2893786,-6.2625755
40,875000,"5 Parnell Cottages, Malahide, Co. Dublin",4,3,180.0,4861.0,Point,"[-6.1564862, 53.4438854]",53.4438854,-6.1564862
41,2800000,"4 Willow Bank, Monkstown, Co. Dublin",6,3,341.0,8211.0,Point,"[-6.143232299999999, 53.2931024]",53.2931024,-6.143232299999999
42,750000,"28 The Quarry, Portmarnock, Co. Dublin",3,4,180.0,4167.0,Point,"[-6.1338314, 53.4315113]",53.4315113,-6.1338314
43,945000,"44 Shrewsbury Park, Ballsbridge, Dublin 4",3,2,146.0,6473.0,Point,"[-6.2185219, 53.3238229]",53.3238229,-6.2185219
44,350000,"51 Whitethorn Crescent, Palmerstown, Dublin 20",3,2,99.0,3535.0,Point,"[-6.3805593, 53.3453846]",53.3453846,-6.3805593
45,3950000,"106 Merrion Road Ballsbridge Dublin 4, Ballsbridge, Dublin 4",5,5,520.0,7596.0,Point,"[-6.2272111, 53.33200009999999]",53.33200009999999,-6.2272111
46,545000,"33 Mount Drummond Avenue, Harold`s Cross, D6, Harold's Cross, Dublin 6",2,2,71.0,7676.0,Point,"[-6.2745998, 53.32649740000001]",53.32649740000001,-6.2745998
47,365000,"23 The Park, Balbriggan Street, Skerries, Co. Dublin",2,1,61.0,5984.0,Point,"[-6.1127631, 53.5798589]",53.5798589,-6.1127631
48,1895000,"Leeson Mews, 41 Leeson Place, Dublin 2",4,3,186.0,10188.0,Point,"[-6.2550218, 53.332922]",53.332922,-6.2550218
49,360000,"Apartment 9 Sycamore House, Eaton Wood Square, Shankill, Dublin 18",2,2,65.0,5538.0,Point,"[-6.1165536, 53.23443229999999]",53.23443229999999,-6.1165536
50,345000,"20 Castlegate Green, Lucan, Co. Dublin",3,3,89.0,3876.0,Point,"[-6.459668, 53.338154]",53.338154,-6.459668
51,430000,"3 Elm Grove, Lucan, Co. Dublin",4,3,110.0,3909.0,Point,"[-6.4322442, 53.3451932]",53.3451932,-6.4322442
52,215000,"Apartment 57, Block 5, Donabate, Co. Dublin",1,1,48.0,4479.0,Point,"[-6.1452924, 53.48630319999999]",53.48630319999999,-6.1452924
53,250000,"1 Applewood Drive, Swords, Co. Dublin",2,2,66.0,3788.0,Point,"[-6.2341925, 53.4702608]",53.4702608,-6.2341925
54,375000,"5 Orchard Close, Beaverstown Road, Donabate, Co. Dublin",3,2,104.0,3606.0,Point,"[-6.1458357, 53.49466]",53.49466,-6.1458357
55,575000,"2 Inbhir Ide, Malahide, Co. Dublin",3,2,122.0,4713.0,Point,"[-6.166403000000001, 53.4517222]",53.4517222,-6.166403000000001
56,370000,"43 Waterside Lawn, Swords Road, Malahide, Co. Dublin",2,2,105.0,3524.0,Point,"[-6.201454, 53.4520872]",53.4520872,-6.201454
57,425000,"110 The Strand, Donabate, Co. Dublin",3,1,110.0,3864.0,Point,"[-6.1456968, 53.48343850000001]",53.48343850000001,-6.1456968
58,1495000,"Sandyford House, Sandyford Road, Sandyford, Dublin 18",4,5,233.0,6416.0,Point,"[-6.2249056, 53.2698124]",53.2698124,-6.2249056
59,950000,"Sea View, 50 Carrickbrack Hill, Sutton, Dublin 13",4,3,231.0,4113.0,Point,"[-6.0982027, 53.3786709]",53.3786709,-6.0982027
60,930000,"Sunnyside, 102 Clontarf Road, Clontarf, Dublin 3",4,1,126.0,7381.0,Point,"[-6.20617, 53.3604542]",53.3604542,-6.20617
61,2500000,"South Hill House, Merrion Park, Blackrock, Co. Dublin",9,6,561.0,4456.0,Point,"[-6.2014204, 53.2983219]",53.2983219,-6.2014204
62,295000,"90 Rialto Cottages, Rialto, Rialto, Dublin 8",2,1,45.0,6556.0,Point,"[-6.2975366, 53.3369106]",53.3369106,-6.2975366
63,350000,"19 Saint Samson's Square, Balgriffin, Dublin 13",3,3,102.0,3431.0,Point,"[-6.172132, 53.4079613]",53.4079613,-6.172132
64,895000,"21 Carrickbrack Lawn, Sutton, Sutton, Dublin 13",4,2,180.0,4972.0,Point,"[-6.0994718, 53.377971]",53.377971,-6.0994718
65,475000,"2 Mount Symon Rise, Clonsilla, Clonsilla, Dublin 15",4,3,118.0,4025.0,Point,"[-6.4232529, 53.3886956]",53.3886956,-6.4232529
66,595000,"57 Drumnigh Manor, Portmarnock, Co. Dublin",3,4,147.0,4048.0,Point,"[-6.1567386, 53.4137535]",53.4137535,-6.1567386
67,650000,"Remount Farm, Racecourse Commons, Lusk, Co. Dublin",4,2,190.0,3421.0,Point,"[-6.1585163, 53.5211165]",53.5211165,-6.1585163
69,275000,"Apartment 11 Marlfield Mall, Kiltipper Way, Tallaght, Dublin 24",3,2,87.0,3161.0,Point,"[-6.371735399999999, 53.2721877]",53.2721877,-6.371735399999999
70,350000,"23A The Drive, St. Catherine's Estate, Rush, Co. Dublin",4,3,98.0,3571.0,Point,"[-6.095627599999999, 53.5365428]",53.5365428,-6.095627599999999
71,1700000,"Apartment 12, Glaunsharoon, Donnybrook, Dublin 4",3,3,161.0,10559.0,Point,"[-6.2364378, 53.31945839999999]",53.31945839999999,-6.2364378
72,895000,"7 Hampton Park, Saint Helen's Wood, Booterstown, Co. Dublin",4,3,140.0,6393.0,Point,"[-6.2016687, 53.3021529]",53.3021529,-6.2016687
73,975000,"Dunamase, Dunamase, Old Frankfort, Dundrum Road, Dublin 14",4,4,175.0,5571.0,Point,"[-6.2488867, 53.297552]",53.297552,-6.2488867
74,1100000,"Lohengrin, 13 Charleville, Churchtown, Dublin 14",5,3,170.0,6471.0,Point,"[-6.247235300000001, 53.2936028]",53.2936028,-6.247235300000001
75,395000,"56 The Crescent, Carrickmines Manor, Carrickmines, Dublin 18",2,2,76.0,5197.0,Point,"[-6.1792217, 53.2499466]",53.2499466,-6.1792217
76,975000,"8 Castleview Park, Dublin Road, Malahide, Co. Dublin",4,2,126.0,7738.0,Point,"[-6.1707252, 53.4478891]",53.4478891,-6.1707252
77,1000000,"142 Drumnigh Wood, Portmarnock, Co. Dublin",4,4,299.0,3344.0,Point,"[-6.152223299999999, 53.4164572]",53.4164572,-6.152223299999999
78,370000,"70 Forestwood Avenue, Santry Avenue, Santry, Dublin 9",3,2,89.0,4157.0,Point,"[-6.2548181, 53.3991592]",53.3991592,-6.2548181
79,995000,"66 Offington Lawn, Sutton, Sutton, Dublin 13",4,2,239.0,4163.0,Point,"[-6.095813199999999, 53.3831952]",53.3831952,-6.095813199999999
80,455000,"27 Windmill Avenue, Swords, Co. Dublin",3,2,116.0,3922.0,Point,"[-6.2312809, 53.45974150000001]",53.45974150000001,-6.2312809
81,599000,"10 Huxley Crescent, Cork Street, The Coombe, Dublin 8",4,3,125.0,4792.0,Point,"[-6.288744299999999, 53.3363981]",53.3363981,-6.288744299999999
