,price,address,bedrooms,bathrooms,floor_area
0,,"7 Henrietta Street, Dublin 1",6 Bed,7 Bath,763 m²
1,,"Drumleck House, Ceanchor Road, Howth, Dublin 13",5 Bed,5 Bath,781 m²
2,,"13 Inverness Road, Fairview, Fairview, Dublin 3",4 Bed,3 Bath,200 m²
3,,"3 Ballymun Road, Glasnevin, Dublin 9",4 Bed,2 Bath,152 m²
4,,"Filmar, 2 Wansdowne, Blackrock, Co. Dublin",4 Bed,2 Bath,154 m²
5,,"7 Oxford Road, Ranelagh, Ranelagh, Dublin 6",6 Bed,6 Bath,221 m²
6,,"1 Newtown Clarke Cottage, Old Lucan Road, Palmerstown, Dublin 20",3 Bed,1 Bath,105 m²
7,,"Tobersool Lane, Balbriggan, Co. Dublin",4 Bed,2 Bath,150 m²
8,,"48 Alderwood, Hollystown, Hollystown, Dublin 15",4 Bed,4 Bath,148 m²
9,,"5 Cedar Cottages, Linden Grove, Blackrock, Co. Dublin",2 Bed,1 Bath,72 m²
10,,"28 Leeson Park Avenue, Ranelagh, Ranelagh, Dublin 6",2 Bed,2 Bath,143 m²
11,,"Fern House, 126, Ranelagh, Dublin 6",5 Bed,2 Bath,265 m²
12,,"17 O'Donovan Road, South Circular Road, South Circular Road, Dublin 8",3 Bed,2 Bath,100 m²
13,,"Donerea, Balscadden, Balbriggan, Co. Dublin",5 Bed,3 Bath,264 m²
14,,"86 Kincora Road, Clontarf, Clontarf, Dublin 3",4 Bed,2 Bath,286 m²
15,,"59 Esker Park, Lucan, Co. Dublin",4 Bed,1 Bath,97 m²
16,,"14 Parkside Mews, Balgriffin, Dublin 13",4 Bed,3 Bath,136 m²
17,,"Brackenlea, Old Carrickbrack Road, Howth, Dublin 13",5 Bed,4 Bath,355 m²
18,,"Apartment 230 Block H , The Island, Martin's Row, Chapelizod, Dublin 20",2 Bed,1 Bath,53 m²
19,,"34 The Pine, The Wintergarden, Pearse Street, Dublin 2",1 Bed,1 Bath,45 m²
20,"€470,000 ","Apartment 17, Amber, The Grange, Stillorgan, Co. Dublin",2 Bed,2 Bath,74 m²
21,"€435,000 ","Apartment 1, House 5, Linden Square, Blackrock, Co. Dublin",2 Bed,2 Bath,79 m²
22,"€1,995,000 ","Karroc, 14 Myra Manor, Malahide, Co. Dublin",5 Bed,4 Bath,481 m²
23,"€485,000 ","11 Reuben Avenue, Rialto, Rialto, Dublin 8",2 Bed,1 Bath,90 m²
24,"€1,975,000 ","Chipton, 25 Ailesbury Park, Ballsbridge, Dublin 4",5 Bed,2 Bath,285 m²
25,"€245,000 ","4 Linnetfields Park, Clonee, Dublin 15",2 Bed,1 Bath,73 m²
26,"€1,695,000 ","54 Palmerston Road, Rathmines, Rathmines, Dublin 6",6 Bed,3 Bath,255 m²
27,"€655,000 ","16 Seabury View, Malahide, Co. Dublin",4 Bed,3 Bath,130 m²
28,"€975,000 ","74 Ard Na Mara, Malahide, Co. Dublin",4 Bed,3 Bath,161 m²
29,"€1,295,000 ","Parnell House, 4A Parnell Cottages, Malahide, Co. Dublin",4 Bed,3 Bath,200 m²
30,"€585,000 ","1 Vale View Avenue, Cabinteely, Dublin 18",4 Bed,2 Bath,132 m²
